TRADE_DT,CODE,EXPIRY,TYPE,STRIKE,PRICE,VOLUME,OI,TAU,EXPIRY_CODE
2026-06-01,MO2606-P-6800.CFE,2026-06-22,PUT,6800.0,1.8,247.0,1865.0,0.057534246575342465,2606
2026-06-01,MO2606-P-6900.CFE,2026-06-22,PUT,6900.0,1.8,344.0,674.0,0.057534246575342465,2606
2026-06-01,MO2606-P-7000.CFE,2026-06-22,PUT,7000.0,2.8,785.0,3114.0,0.057534246575342465,2606
2026-06-01,MO2606-P-7100.CFE,2026-06-22,PUT,7100.0,3.0,875.0,900.0,0.057534246575342465,2606
2026-06-01,MO2606-P-7200.CFE,2026-06-22,PUT,7200.0,3.6,1656.0,2321.0,0.057534246575342465,2606
2026-06-01,MO2606-P-7300.CFE,2026-06-22,PUT,7300.0,5.0,2289.0,2166.0,0.057534246575342465,2606
2026-06-01,MO2606-P-7400.CFE,2026-06-22,PUT,7400.0,7.4,2668.0,4459.0,0.057534246575342465,2606
2026-06-01,MO2606-P-7500.CFE,2026-06-22,PUT,7500.0,11.6,3439.0,4979.0,0.057534246575342465,2606
2026-06-01,MO2606-P-7600.CFE,2026-06-22,PUT,7600.0,17.8,4994.0,6517.0,0.057534246575342465,2606
2026-06-01,MO2606-P-7700.CFE,2026-06-22,PUT,7700.0,27.4,4176.0,5283.0,0.057534246575342465,2606
2026-06-01,MO2606-P-7800.CFE,2026-06-22,PUT,7800.0,42.0,7676.0,6886.0,0.057534246575342465,2606
2026-06-01,MO2606-P-7900.CFE,2026-06-22,PUT,7900.0,60.8,7172.0,5382.0,0.057534246575342465,2606
2026-06-01,MO2606-P-8000.CFE,2026-06-22,PUT,8000.0,83.6,19779.0,10856.0,0.057534246575342465,2606
2026-06-01,MO2606-P-8100.CFE,2026-06-22,PUT,8100.0,114.0,8993.0,4932.0,0.057534246575342465,2606
2026-06-01,MO2606-P-8200.CFE,2026-06-22,PUT,8200.0,150.8,12927.0,6810.0,0.057534246575342465,2606
