TRADE_DT,CODE,CLOSE,VOLUME,OI,EXPIRY_CODE,EXPIRY
2026-06-01,IM2606.CFE,8305.8,185978.0,219745.0,2606,2026-06-22
2026-06-01,IM2607.CFE,8235.2,10555.0,16869.0,2607,2026-07-17
2026-06-01,IM2609.CFE,8081.8,58978.0,141306.0,2609,2026-09-18
2026-06-01,IM2612.CFE,7880.4,22039.0,66830.0,2612,2026-12-18
2026-06-02,IM2606.CFE,8324.6,175916.0,210218.0,2606,2026-06-22
2026-06-02,IM2607.CFE,8256.0,10282.0,18175.0,2607,2026-07-17
2026-06-02,IM2609.CFE,8106.4,62980.0,144585.0,2609,2026-09-18
2026-06-02,IM2612.CFE,7900.0,22022.0,69187.0,2612,2026-12-18
2026-06-03,IM2606.CFE,8368.4,172909.0,201325.0,2606,2026-06-22
2026-06-03,IM2607.CFE,8295.8,9928.0,19319.0,2607,2026-07-17
2026-06-03,IM2609.CFE,8139.4,61731.0,141961.0,2609,2026-09-18
2026-06-03,IM2612.CFE,7919.6,23285.0,70421.0,2612,2026-12-18
2026-06-04,IM2606.CFE,8354.8,131965.0,191874.0,2606,2026-06-22
2026-06-04,IM2607.CFE,8284.0,7967.0,19932.0,2607,2026-07-17
2026-06-04,IM2609.CFE,8124.8,47359.0,141194.0,2609,2026-09-18
2026-06-04,IM2612.CFE,7908.0,17503.0,68690.0,2612,2026-12-18
2026-06-05,IM2606.CFE,8291.8,181451.0,200773.0,2606,2026-06-22
2026-06-05,IM2607.CFE,8214.0,10182.0,21017.0,2607,2026-07-17
2026-06-05,IM2609.CFE,8055.6,69348.0,149159.0,2609,2026-09-18
2026-06-05,IM2612.CFE,7831.0,22736.0,72076.0,2612,2026-12-18
2026-06-08,IM2606.CFE,8072.8,200287.0,201883.0,2606,2026-06-22
2026-06-08,IM2607.CFE,8000.6,15010.0,25314.0,2607,2026-07-17
2026-06-08,IM2609.CFE,7843.2,82795.0,154115.0,2609,2026-09-18
2026-06-08,IM2612.CFE,7630.0,28169.0,75443.0,2612,2026-12-18
2026-06-09,IM2606.CFE,8233.4,160340.0,177843.0,2606,2026-06-22
2026-06-09,IM2607.CFE,8153.8,16083.0,28211.0,2607,2026-07-17
2026-06-09,IM2609.CFE,7993.0,66881.0,150868.0,2609,2026-09-18
2026-06-09,IM2612.CFE,7764.4,22953.0,74973.0,2612,2026-12-18
2026-06-10,IM2606.CFE,8162.2,154308.0,177936.0,2606,2026-06-22
2026-06-10,IM2607.CFE,8080.2,13513.0,29492.0,2607,2026-07-17
2026-06-10,IM2609.CFE,7917.0,67079.0,156017.0,2609,2026-09-18
2026-06-10,IM2612.CFE,7689.2,20396.0,76574.0,2612,2026-12-18
2026-06-11,IM2606.CFE,8126.4,149516.0,171821.0,2606,2026-06-22
2026-06-11,IM2607.CFE,8049.0,12505.0,30546.0,2607,2026-07-17
2026-06-11,IM2609.CFE,7886.6,66805.0,157295.0,2609,2026-09-18
2026-06-11,IM2612.CFE,7660.6,19867.0,77727.0,2612,2026-12-18
2026-06-12,IM2606.CFE,8196.8,146950.0,158171.0,2606,2026-06-22
2026-06-12,IM2607.CFE,8122.8,15891.0,33949.0,2607,2026-07-17
2026-06-12,IM2609.CFE,7958.6,80183.0,163108.0,2609,2026-09-18
2026-06-12,IM2612.CFE,7735.0,24082.0,78857.0,2612,2026-12-18
2026-06-15,IM2606.CFE,8475.2,134896.0,137607.0,2606,2026-06-22
2026-06-15,IM2607.CFE,8403.4,23151.0,40710.0,2607,2026-07-17
2026-06-15,IM2609.CFE,8244.6,85423.0,167732.0,2609,2026-09-18
2026-06-15,IM2612.CFE,8012.6,28590.0,82837.0,2612,2026-12-18
2026-06-16,IM2606.CFE,8602.4,124372.0,116720.0,2606,2026-06-22
2026-06-16,IM2607.CFE,8523.8,25572.0,46919.0,2607,2026-07-17
2026-06-16,IM2609.CFE,8349.0,89065.0,177643.0,2609,2026-09-18
2026-06-16,IM2612.CFE,8109.8,28593.0,86394.0,2612,2026-12-18
2026-06-17,IM2606.CFE,8695.0,98806.0,86061.0,2606,2026-06-22
2026-06-17,IM2607.CFE,8612.0,29920.0,56723.0,2607,2026-07-17
2026-06-17,IM2609.CFE,8445.0,91903.0,188057.0,2609,2026-09-18
2026-06-17,IM2612.CFE,8201.0,22735.0,88619.0,2612,2026-12-18
2026-06-18,IM2606.CFE,8766.0,78697.0,57977.0,2606,2026-06-22
2026-06-18,IM2607.CFE,8679.0,40021.0,69030.0,2607,2026-07-17
2026-06-18,IM2609.CFE,8510.0,114746.0,204527.0,2609,2026-09-18
2026-06-18,IM2612.CFE,8270.0,26046.0,92936.0,2612,2026-12-18
2026-06-22,IM2606.CFE,8774.2,44990.0,0.0,2606,2026-06-22
2026-06-22,IM2607.CFE,8706.2,64293.0,88681.0,2607,2026-07-17
2026-06-22,IM2609.CFE,8524.2,158991.0,221871.0,2609,2026-09-18
2026-06-22,IM2612.CFE,8281.0,31029.0,94592.0,2612,2026-12-18
2026-06-23,IM2607.CFE,8598.8,65773.0,87883.0,2607,2026-07-17
2026-06-23,IM2608.CFE,8515.0,8726.0,8503.0,2608,2026-08-21
2026-06-23,IM2609.CFE,8403.0,169243.0,221704.0,2609,2026-09-18
2026-06-23,IM2612.CFE,8156.0,26961.0,95006.0,2612,2026-12-18
2026-06-24,IM2607.CFE,8667.6,59625.0,89622.0,2607,2026-07-17
2026-06-24,IM2608.CFE,8568.0,8861.0,9852.0,2608,2026-08-21
2026-06-24,IM2609.CFE,8472.4,144567.0,214962.0,2609,2026-09-18
2026-06-24,IM2612.CFE,8221.2,22110.0,94495.0,2612,2026-12-18
2026-06-25,IM2607.CFE,8725.8,51012.0,84690.0,2607,2026-07-17
2026-06-25,IM2608.CFE,8622.6,8079.0,12624.0,2608,2026-08-21
2026-06-25,IM2609.CFE,8523.8,144932.0,216470.0,2609,2026-09-18
2026-06-25,IM2612.CFE,8271.2,23977.0,94628.0,2612,2026-12-18
2026-06-26,IM2607.CFE,8532.6,63441.0,90290.0,2607,2026-07-17
2026-06-26,IM2608.CFE,8424.6,9481.0,13004.0,2608,2026-08-21
2026-06-26,IM2609.CFE,8319.2,174428.0,220480.0,2609,2026-09-18
2026-06-26,IM2612.CFE,8066.0,28278.0,97251.0,2612,2026-12-18
2026-06-29,IM2607.CFE,8514.2,69358.0,92014.0,2607,2026-07-17
2026-06-29,IM2608.CFE,8405.6,7738.0,13904.0,2608,2026-08-21
2026-06-29,IM2609.CFE,8308.6,171721.0,220381.0,2609,2026-09-18
2026-06-29,IM2612.CFE,8051.0,28693.0,98075.0,2612,2026-12-18
2026-06-30,IM2607.CFE,8705.2,55195.0,84586.0,2607,2026-07-17
2026-06-30,IM2608.CFE,8606.2,6575.0,13883.0,2608,2026-08-21
2026-06-30,IM2609.CFE,8504.2,146627.0,210892.0,2609,2026-09-18
2026-06-30,IM2612.CFE,8240.0,24463.0,96669.0,2612,2026-12-18
2026-07-01,IM2607.CFE,8727.6,58982.0,83049.0,2607,2026-07-17
2026-07-01,IM2608.CFE,8620.6,9191.0,16610.0,2608,2026-08-21
2026-07-01,IM2609.CFE,8517.6,168136.0,219809.0,2609,2026-09-18
2026-07-01,IM2612.CFE,8248.0,30604.0,99206.0,2612,2026-12-18
2026-07-02,IM2607.CFE,8570.0,63818.0,85425.0,2607,2026-07-17
2026-07-02,IM2608.CFE,8473.0,13183.0,18259.0,2608,2026-08-21
2026-07-02,IM2609.CFE,8370.2,178178.0,215598.0,2609,2026-09-18
2026-07-02,IM2612.CFE,8109.6,32353.0,98861.0,2612,2026-12-18
2026-07-03,IM2607.CFE,8567.2,55429.0,81093.0,2607,2026-07-17
2026-07-03,IM2608.CFE,8468.4,11993.0,19588.0,2608,2026-08-21
2026-07-03,IM2609.CFE,8373.0,152704.0,212690.0,2609,2026-09-18
2026-07-03,IM2612.CFE,8113.4,24371.0,98496.0,2612,2026-12-18
2026-07-06,IM2607.CFE,8458.0,61221.0,84489.0,2607,2026-07-17
2026-07-06,IM2608.CFE,8362.0,13051.0,23481.0,2608,2026-08-21
2026-07-06,IM2609.CFE,8265.0,151626.0,215188.0,2609,2026-09-18
2026-07-06,IM2612.CFE,8013.8,26467.0,101841.0,2612,2026-12-18
2026-07-07,IM2607.CFE,8296.6,61212.0,83883.0,2607,2026-07-17
2026-07-07,IM2608.CFE,8200.0,13689.0,26210.0,2608,2026-08-21
2026-07-07,IM2609.CFE,8115.2,150751.0,220115.0,2609,2026-09-18
2026-07-07,IM2612.CFE,7870.6,30018.0,103243.0,2612,2026-12-18
2026-07-08,IM2607.CFE,8131.2,68781.0,91392.0,2607,2026-07-17
2026-07-08,IM2608.CFE,8046.0,17666.0,32832.0,2608,2026-08-21
2026-07-08,IM2609.CFE,7974.0,167678.0,232092.0,2609,2026-09-18
2026-07-08,IM2612.CFE,7740.2,30533.0,104939.0,2612,2026-12-18
2026-07-09,IM2607.CFE,8282.6,73965.0,85247.0,2607,2026-07-17
2026-07-09,IM2608.CFE,8207.0,18830.0,36783.0,2608,2026-08-21
2026-07-09,IM2609.CFE,8127.4,195417.0,239360.0,2609,2026-09-18
2026-07-09,IM2612.CFE,7896.0,35604.0,109178.0,2612,2026-12-18
2026-07-10,IM2607.CFE,8186.2,60933.0,78685.0,2607,2026-07-17
2026-07-10,IM2608.CFE,8099.2,16770.0,39413.0,2608,2026-08-21
2026-07-10,IM2609.CFE,8019.4,171301.0,231960.0,2609,2026-09-18
2026-07-10,IM2612.CFE,7780.0,30232.0,107556.0,2612,2026-12-18
2026-07-13,IM2607.CFE,7819.0,76815.0,81930.0,2607,2026-07-17
2026-07-13,IM2608.CFE,7750.0,29877.0,52270.0,2608,2026-08-21
2026-07-13,IM2609.CFE,7684.4,200999.0,247724.0,2609,2026-09-18
2026-07-13,IM2612.CFE,7459.6,38854.0,114602.0,2612,2026-12-18
2026-07-14,IM2607.CFE,7914.8,75103.0,75403.0,2607,2026-07-17
2026-07-14,IM2608.CFE,7854.4,32294.0,58492.0,2608,2026-08-21
2026-07-14,IM2609.CFE,7788.0,217776.0,250166.0,2609,2026-09-18
2026-07-14,IM2612.CFE,7563.4,38509.0,116484.0,2612,2026-12-18
2026-07-15,IM2607.CFE,7835.0,57559.0,58810.0,2607,2026-07-17
2026-07-15,IM2608.CFE,7780.4,32113.0,66494.0,2608,2026-08-21
2026-07-15,IM2609.CFE,7723.2,174869.0,243227.0,2609,2026-09-18
2026-07-15,IM2612.CFE,7499.2,29866.0,118371.0,2612,2026-12-18
2026-07-16,IM2607.CFE,7655.0,54531.0,43395.0,2607,2026-07-17
2026-07-16,IM2608.CFE,7599.6,46976.0,85900.0,2608,2026-08-21
2026-07-16,IM2609.CFE,7552.6,192392.0,256306.0,2609,2026-09-18
2026-07-16,IM2612.CFE,7347.0,34682.0,121285.0,2612,2026-12-18
2026-07-17,IM2607.CFE,7265.4,39448.0,0.0,2607,2026-07-17
2026-07-17,IM2608.CFE,7118.8,90297.0,118008.0,2608,2026-08-21
2026-07-17,IM2609.CFE,7065.2,282694.0,273252.0,2609,2026-09-18
2026-07-17,IM2612.CFE,6866.0,55793.0,127296.0,2612,2026-12-18
2026-07-20,IM2608.CFE,6910.0,97418.0,116948.0,2608,2026-08-21
2026-07-20,IM2609.CFE,6849.8,313762.0,274654.0,2609,2026-09-18
2026-07-20,IM2612.CFE,6650.6,67178.0,127385.0,2612,2026-12-18
2026-07-20,IM2703.CFE,6489.8,12521.0,11330.0,2703,2027-03-19
2026-07-21,IM2608.CFE,7220.0,83442.0,118438.0,2608,2026-08-21
2026-07-21,IM2609.CFE,7164.4,294238.0,269678.0,2609,2026-09-18
2026-07-21,IM2612.CFE,6971.4,58797.0,126493.0,2612,2026-12-18
2026-07-21,IM2703.CFE,6800.4,14747.0,14479.0,2703,2027-03-19
2026-07-22,IM2608.CFE,7091.2,71597.0,104185.0,2608,2026-08-21
2026-07-22,IM2609.CFE,7028.8,231584.0,255044.0,2609,2026-09-18
2026-07-22,IM2612.CFE,6828.0,46329.0,123558.0,2612,2026-12-18
2026-07-22,IM2703.CFE,6662.2,13317.0,17861.0,2703,2027-03-19
2026-07-23,IM2608.CFE,7136.4,54505.0,105492.0,2608,2026-08-21
2026-07-23,IM2609.CFE,7071.6,186983.0,250139.0,2609,2026-09-18
2026-07-23,IM2612.CFE,6876.4,35825.0,119793.0,2612,2026-12-18
