TRADE_DT,raw_repo_rate,REPO,UPDATED,SCHEDULED_UPDATE,STATUS,RISK_FREE_RATE,REPO_SOURCE_DATE,MAIN_FUTURE_CODE,MAIN_FUTURE_PRICE,MAIN_FUTURE_EXPIRY,MAIN_FUTURE_TAU,SPOT_AT_UPDATE
2026-07-14,0.11152468066616666,0.11152468066616666,True,True,UPDATED,0.015,2026-07-14,IM2609.CFE,7788.0,2026-09-18,0.18082191780821918,7925.1232
2026-07-15,0.08338641575145835,0.11152468066616666,False,False,CARRY_FORWARD,0.015,2026-07-14,IM2609.CFE,7788.0,2026-09-18,0.18082191780821918,7925.1232
2026-07-16,0.07446591714109506,0.11152468066616666,False,False,CARRY_FORWARD,0.015,2026-07-14,IM2609.CFE,7788.0,2026-09-18,0.18082191780821918,7925.1232
2026-07-17,0.09868800755790752,0.11152468066616666,False,False,CARRY_FORWARD,0.015,2026-07-14,IM2609.CFE,7788.0,2026-09-18,0.18082191780821918,7925.1232
2026-07-20,0.1167868938738219,0.11152468066616666,False,False,CARRY_FORWARD,0.015,2026-07-14,IM2609.CFE,7788.0,2026-09-18,0.18082191780821918,7925.1232
2026-07-21,0.09688769287608812,0.11152468066616666,False,False,CARRY_FORWARD,0.015,2026-07-14,IM2609.CFE,7788.0,2026-09-18,0.18082191780821918,7925.1232
2026-07-22,0.13029654419019643,0.11152468066616666,False,False,CARRY_FORWARD,0.015,2026-07-14,IM2609.CFE,7788.0,2026-09-18,0.18082191780821918,7925.1232
2026-07-23,0.12622271217994202,0.11152468066616666,False,False,CARRY_FORWARD,0.015,2026-07-14,IM2609.CFE,7788.0,2026-09-18,0.18082191780821918,7925.1232
2026-07-24,0.12350255263375387,0.11152468066616666,False,False,CARRY_FORWARD,0.015,2026-07-14,IM2609.CFE,7788.0,2026-09-18,0.18082191780821918,7925.1232
2026-07-27,0.09162515682996902,0.11152468066616666,False,False,CARRY_FORWARD,0.015,2026-07-14,IM2609.CFE,7788.0,2026-09-18,0.18082191780821918,7925.1232
2026-07-28,0.09848733878113011,0.09848733878113011,True,True,UPDATED,0.015,2026-07-28,IM2609.CFE,6943.2,2026-09-18,0.14246575342465753,7026.2761
2026-07-29,0.06356785459625333,0.09848733878113011,False,False,CARRY_FORWARD,0.015,2026-07-28,IM2609.CFE,6943.2,2026-09-18,0.14246575342465753,7026.2761
