TRADE_DT,EXPIRY,EXPIRY_CODE,MODEL,TARGET,TARGET_DELTA,LOG_MONEYNESS,STRIKE,MODEL_IV,ACHIEVED_DELTA,DELTA_ERROR,STATUS
2026-06-01,2026-06-22,2606,QUADRATIC,10CALL,0.1,0.08353547036647797,9029.432652784753,0.26526792927854137,0.10000000006601617,6.60161647569879e-11,OK
2026-06-01,2026-06-22,2606,QUADRATIC,25CALL,0.25,0.04322918578982352,8672.726805037983,0.2558220120665999,0.24999999996470032,3.529967984583493e-11,OK
2026-06-01,2026-06-22,2606,QUADRATIC,75PUT,-0.25,-0.03978919374942783,7981.807361253575,0.25803756060323335,-0.24999999995492236,4.507763606831361e-11,OK
2026-06-01,2026-06-22,2606,QUADRATIC,90PUT,-0.1,-0.0808433542847633,7660.756293064954,0.26991499635926924,-0.09999999997595997,2.4040033852479326e-11,OK
2026-06-01,2026-06-22,2606,QUADRATIC,ATM,,0.0,8305.8,0.25333485512041254,,,OK
2026-06-01,2026-07-17,2607,QUADRATIC,10CALL,0.1,0.13651289653778081,9439.759908894297,0.28875240741576186,0.09999999996297661,3.702339823608014e-11,OK
2026-06-01,2026-07-17,2607,QUADRATIC,25CALL,0.25,0.07222931516170504,8852.03136171124,0.28142918324659927,0.24999999997290495,2.7095048427128177e-11,OK
2026-06-01,2026-07-17,2607,QUADRATIC,75PUT,-0.25,-0.06267160397768025,7734.926996746538,0.28351437851018524,-0.25000000005232914,5.2329141020379666e-11,OK
2026-06-01,2026-07-17,2607,QUADRATIC,90PUT,-0.1,-0.12777072191238395,7247.430034351885,0.29297749829103054,-0.09999999994755886,5.2441148645776536e-11,OK
2026-06-01,2026-07-17,2607,QUADRATIC,ATM,,0.0,8235.2,0.2796053690616931,,,OK
2026-06-01,2026-08-21,2608,QUADRATIC,10CALL,0.1,0.18865167713165287,9895.78303674399,0.2967400384570825,0.09999999994678208,5.3217930062743335e-11,OK
2026-06-01,2026-08-21,2608,QUADRATIC,25CALL,0.25,0.09523752188682555,9013.239529895009,0.2744896913245507,0.2500000000160802,1.608019273291461e-11,OK
2026-06-01,2026-08-21,2608,QUADRATIC,75PUT,-0.25,-0.08167680621147146,7551.756816864342,0.28691866200016397,-0.2499999999662246,3.377539914417582e-11,OK
2026-06-01,2026-08-21,2608,QUADRATIC,90PUT,-0.1,-0.185509253501892,6806.974714844826,0.3274741550864953,-0.09999999997021768,2.978232938044556e-11,OK
2026-06-01,2026-08-21,2608,QUADRATIC,ATM,,0.0,8194.449488091796,0.27230504108694825,,,OK
2026-06-01,2026-09-18,2609,QUADRATIC,10CALL,0.1,0.2259814748764038,10130.960132618262,0.30362800774250304,0.09999999995140064,4.859936064693926e-11,OK
2026-06-01,2026-09-18,2609,QUADRATIC,25CALL,0.25,0.11545741951465607,9070.905007915202,0.28240999972819936,0.2500000000858615,8.586148458888943e-11,OK
2026-06-01,2026-09-18,2609,QUADRATIC,75PUT,-0.25,-0.09039716863632188,7383.27606503179,0.27801788888112383,-0.250000000010727,1.0726974863928262e-11,OK
2026-06-01,2026-09-18,2609,QUADRATIC,90PUT,-0.1,-0.19175528192520136,6671.597510520212,0.29265001797791057,-0.09999999998830619,1.169381258492308e-11,OK
2026-06-01,2026-09-18,2609,QUADRATIC,ATM,,0.0,8081.8,0.27431734108048156,,,OK
2026-06-01,2026-12-18,2612,QUADRATIC,10CALL,0.1,0.3011361193656922,10649.519602254124,0.2936141241742984,0.10000000008293021,8.293020437033505e-11,OK
2026-06-01,2026-12-18,2612,QUADRATIC,25CALL,0.25,0.15929408371448517,9241.209244588823,0.27901042931874726,0.24999999996767544,3.232455969559567e-11,OK
