TRADE_DT,EXPIRY,EXPIRY_CODE,TAU,FORWARD,RISK_FREE_RATE,MODEL,N_SAMPLES,a,b,c,RMSE,FIT_STATUS
2026-06-01,2026-06-22,2606,0.057534246575342465,8305.8,0.015,QUADRATIC,41,0.25333485512041254,-0.033968865868064135,4.233393329856109,0.011624219005580486,QUADRATIC
2026-06-01,2026-07-17,2607,0.12602739726027398,8235.2,0.015,QUADRATIC,26,0.2796053690616931,-0.02166532881915953,1.2990753317200154,0.002891620914968867,QUADRATIC
2026-06-01,2026-08-21,2608,0.2219178082191781,8194.449488091796,0.015,QUADRATIC,23,0.27230504108694825,-0.08572693912109242,2.2819977370251867,0.0022282849733746006,QUADRATIC
2026-06-01,2026-09-18,2609,0.29863013698630136,8081.8,0.015,QUADRATIC,20,0.27431734108048156,0.007819616386986805,1.0787099320187472,0.002822235329310572,QUADRATIC
2026-06-01,2026-12-18,2612,0.547945205479452,7880.4,0.015,QUADRATIC,19,0.2737940397243079,-0.004392848057911014,0.46630434451335373,0.004406270212267618,QUADRATIC
2026-06-01,2027-03-19,2703,0.7972602739726027,7816.347856307721,0.015,QUADRATIC,18,0.27131442766109504,-0.05404138429199694,0.4384595647048422,0.004475182361542489,QUADRATIC
2026-06-02,2026-06-22,2606,0.0547945205479452,8324.6,0.015,QUADRATIC,41,0.24889142825294208,-0.033423055819861824,4.4761143625995,0.012396994179425453,QUADRATIC
2026-06-02,2026-07-17,2607,0.1232876712328767,8256.0,0.015,QUADRATIC,26,0.2741502681953043,-0.049147729178385516,1.7014262088116836,0.0030254382475222007,QUADRATIC
2026-06-02,2026-08-21,2608,0.2191780821917808,8235.237942857128,0.015,QUADRATIC,23,0.27244545828915084,-0.1431126610535039,2.4053034642181688,0.0038703552781966847,QUADRATIC
2026-06-02,2026-09-18,2609,0.2958904109589041,8106.4,0.015,QUADRATIC,20,0.2758032715727123,0.006036081559249951,1.0517299877904185,0.003504204579634646,QUADRATIC
2026-06-02,2026-12-18,2612,0.5452054794520548,7900.0,0.015,QUADRATIC,19,0.27539146093287264,-0.0076248740449695734,0.356939894774748,0.00484065132973425,QUADRATIC
2026-06-02,2027-03-19,2703,0.7945205479452054,7855.254283326451,0.015,QUADRATIC,18,0.2693136756676424,-0.06388344189658351,0.4768625722194879,0.004473115702783058,QUADRATIC
2026-06-03,2026-06-22,2606,0.052054794520547946,8368.4,0.015,QUADRATIC,41,0.24235310440415928,-0.09874936355329123,4.392397107397777,0.016189706971155852,QUADRATIC
2026-06-03,2026-07-17,2607,0.12054794520547946,8295.8,0.015,QUADRATIC,26,0.26488350716802056,-0.11349284409810038,1.8752510761096595,0.0015682506567624192,QUADRATIC
2026-06-03,2026-08-21,2608,0.21643835616438356,8284.144794966935,0.015,QUADRATIC,23,0.26224271561481327,-0.3119437775081306,3.9059540810848716,0.008142235562472112,QUADRATIC
2026-06-03,2026-09-18,2609,0.29315068493150687,8139.4,0.015,QUADRATIC,20,0.270409570693766,-0.0318998509969437,1.2250907611332,0.0013139337813641385,QUADRATIC
2026-06-03,2026-12-18,2612,0.5424657534246575,7919.6,0.015,QUADRATIC,19,0.2706753642351985,-0.01713941145928849,0.49323419826836185,0.004279507500965336,QUADRATIC
2026-06-03,2027-03-19,2703,0.7917808219178082,7901.904515194101,0.015,QUADRATIC,18,0.2710259537883895,-0.1065924560376338,0.4242843884131571,0.007136251533931062,QUADRATIC
2026-06-04,2026-06-22,2606,0.049315068493150684,8354.8,0.015,QUADRATIC,41,0.2463023212642912,-0.11006135518231108,4.418131883111532,0.01738455772728512,QUADRATIC
2026-06-04,2026-07-17,2607,0.1178082191780822,8284.0,0.015,QUADRATIC,26,0.26627251549889863,-0.12172639911520726,1.9668748919027539,0.0025364475877348944,QUADRATIC
2026-06-04,2026-08-21,2608,0.2136986301369863,8273.643009242527,0.015,QUADRATIC,23,0.2597886394420418,-0.30410883762598073,4.264193870186677,0.007116133030353463,QUADRATIC
2026-06-04,2026-09-18,2609,0.29041095890410956,8124.8,0.015,QUADRATIC,20,0.2691116922344396,-0.028978258442664107,1.3535543743350966,0.0022206248832274994,QUADRATIC
2026-06-04,2026-12-18,2612,0.5397260273972603,7908.0,0.015,QUADRATIC,19,0.2717097161724388,-0.017278399889472648,0.39133264815461194,0.004389338345367039,QUADRATIC
2026-06-04,2027-03-19,2703,0.7890410958904109,7891.887294335806,0.015,QUADRATIC,18,0.26559016551999587,-0.11950315454098422,0.6807455165590351,0.007840620675512599,QUADRATIC
2026-06-05,2026-06-22,2606,0.04657534246575343,8291.8,0.015,QUADRATIC,41,0.24995524684888604,-0.0766342357458294,4.841614403509663,0.021317834450559802,QUADRATIC
2026-06-05,2026-07-17,2607,0.11506849315068493,8214.0,0.015,QUADRATIC,26,0.27367318366451976,-0.11453706822787518,1.74815231860733,0.0024875005773026173,QUADRATIC
2026-06-05,2026-08-21,2608,0.21095890410958903,8197.731728545441,0.015,QUADRATIC,23,0.2677108657634935,-0.2929662912851756,4.117161466756282,0.006179397653332851,QUADRATIC
2026-06-05,2026-09-18,2609,0.2876712328767123,8055.6,0.015,QUADRATIC,20,0.2749074441401177,-0.0059988110771780345,1.2028650262184861,0.002716284206791344,QUADRATIC
2026-06-05,2026-12-18,2612,0.536986301369863,7831.0,0.015,QUADRATIC,19,0.2771290992103956,0.0075526022134986825,0.31291400252963886,0.004827064944398583,QUADRATIC
2026-06-05,2027-03-19,2703,0.7863013698630137,7819.478650288575,0.015,QUADRATIC,18,0.26929368405439746,-0.11575148711600068,0.6991833487829048,0.007733402237366624,QUADRATIC
2026-06-08,2026-06-22,2606,0.038356164383561646,8072.8,0.015,QUADRATIC,41,0.28654556938537556,0.0007653356958294832,5.93208534466372,0.026158390875822536,QUADRATIC
2026-06-08,2026-07-17,2607,0.10684931506849316,8000.6,0.015,QUADRATIC,26,0.2885888249046604,-0.16509181318376354,3.3216039742269565,0.002426594727849881,QUADRATIC
