method,signed_model_residual,absolute_model_residual,skew_abs_share,skew_pnl
T1,389531.84758434823,801178.2971076273,0.6182567188419613,917861.7009801131
T2,37333.520518577316,180816.36195400666,0.5636972477121691,905238.9062263344
SH,2.0513652998488396e-09,2.9322563932510093e-08,0.5539377658605108,903628.6887856176
