date,expiry,DELTA_PNL,SMILE_ROLL_PNL,ATM_PNL,SKEW_PNL,CURV_PNL,TAU_PNL,R_PNL,MODEL_PNL,MARKET_PNL,MARKET_NOISE_PNL,OPTION_FEE,FUTURES_OPENING_FEE,FUTURES_CLOSING_FEE,FUTURES_FEE,FEE,ACTUAL_PNL,GROSS_OPTION_POSITION,FUTURES_POSITION,GAMMA_EXPOSURE,ATMVOL_EXPOSURE,SKEW_EXPOSURE,CURVATURE_EXPOSURE,THETA_EXPOSURE
2026-06-02,2026-07-17,-1188.3917304533243,-3723.22938329667,-593.6178715815167,-27119.5709903363,-362.2082086950304,69.64833846096008,0.0,-32917.36984590182,-38319.99999999714,-5402.630154095321,2505.0,757.6384,0.0,757.6384,3262.6384,-41582.638399997144,167,-20,0.04100872254254299,23314.60957230887,999980.5843822929,85.45772844628958,-59663.89664369926
2026-06-03,2026-07-17,-5372.758903667505,-8310.852086130557,-2660.595304054428,-63026.3939989717,-416.67189670337825,76.31641972812668,0.0,-79710.9557697994,-78299.99999999703,1410.955769802371,135.0,0.0,0.0,0.0,135.0,-78434.99999999703,170,-20,0.1346725414407701,135783.67177686156,999498.1334501592,-485.74777383206003,-51669.05079578181
2026-06-04,2026-07-17,-510.35123240660323,2708.0854733198003,-3.5390928240803987,-8152.572360489239,-16.829183467872895,1344.6900796076388,0.0,-4630.516316260364,-6680.000000003027,-2049.483683742663,3645.0,38.16067999999999,0.0,38.16067999999999,3683.16068,-10363.160680003028,183,-21,0.22787244282358063,86046.90862157059,998459.7366561451,-632.9568485400247,-378854.1916860655
2026-06-05,2026-07-17,-2474.1895829106797,16170.709938452701,-3403.2338128821375,7163.0272580922365,-591.4519074591833,2773.4389471070326,0.0,19638.300840399927,23320.0,3681.6991596000735,90.0,38.1064,0.0,38.1064,128.1064,23191.8936,187,-22,0.2004389973384835,-11287.732047200643,1006754.1783945619,-232.4096151279826,-532951.4866551299
2026-06-08,2026-08-21,-9339.829197610728,112489.92588908863,-20100.942037809917,80463.34244502422,-16693.43614622601,11371.248479317794,0.0,158190.30943178397,171829.00922948553,13638.699797701556,4635.0,1510.0289871235625,0.0,1510.0289871235625,6145.028987123563,165683.98024236195,122,-18,0.09451821308104408,-630419.3010919206,1001610.5573613455,709.8051659157682,-1084904.3112420593
2026-06-09,2026-07-17,-4992.839419886586,-54672.30055689011,-40047.46894713619,-33469.52860733512,-993.6556564642251,-3896.455171091042,0.0,-138072.24835880322,-149879.99999999895,-11807.751641195733,4740.0,1614.9538599112843,0.0,1614.9538599112843,6354.953859911284,-156234.95385991022,194,-26,0.6762265710450865,876080.6217941059,931229.481712363,4454.831575955152,532891.8345921313
2026-06-10,2026-08-21,-625.8845515784924,50467.92020978027,-1225.224177872964,34830.156516676274,-422.1566466029126,2439.608479509451,0.0,85464.41982991167,130418.1977849837,44953.77795507203,4620.0,1539.8358821247348,0.0,1539.8358821247348,6159.835882124735,124258.36190285896,114,-15,0.4010105682492214,217124.62218144131,1010365.4686464262,-4717.322460282907,-733112.7037514506
2026-06-11,2026-08-21,-2750.21230383504,15481.420028677057,-979.9379423793434,-12224.815405028348,45.817081395988055,2349.008719564201,0.0,1921.2801783945615,-1926.0209452076815,-3847.301123602243,1485.0,0.0,0.0,0.0,1485.0,-3411.0209452076815,117,-15,0.28858140276633015,-12207.051440937903,1019395.2312814454,768.4269366608476,-762561.8782741056
2026-06-12,2026-08-21,988.3877250403893,-16185.718218553237,1261.5570535365878,134267.60520251645,-1895.1127594218751,1904.3444959069766,0.0,120341.0634990253,109933.59096619909,-10407.472532826214,1665.0,36.93878813716134,0.0,36.93878813716134,1701.9387881371613,108231.65217806192,112,-14,0.16949952928715165,-391095.4446895674,1001385.7518964745,3990.2704843409765,-1031539.1306410398
2026-06-15,2026-08-21,-440.5221600170553,441.9184522640993,12409.628908678387,610449.6901957304,-4508.384556698686,-5455.544938531548,0.0,612896.7859014255,720011.8923807123,107115.1064792868,1575.0,37.143367237716866,0.0,37.143367237716866,1612.1433672377168,718399.7490134746,117,-15,0.0840577263874273,-332032.62406632275,998198.7398964554,-2084.9784623589053,-692677.419119183
2026-06-16,2026-09-18,6668.795025063911,-14557.024662792279,2649.4613140654146,8537.135677806311,-43.167446105633644,-509.6363771278916,0.0,2745.563530909829,6220.00000000064,3474.4364690908114,2955.0,861.6591950409966,0.0,861.6591950409966,3816.6591950409966,2403.3408049596437,80,-8,0.049724341666951104,152500.61736609272,1024386.0812206294,3090.2834579001897,28422.623907933634
2026-06-17,2026-09-18,-4428.431441414286,-13561.462888222155,859.0278226634432,-35967.30874042686,18.165103688045093,-119.40623102579457,0.0,-53199.4163747376,-62560.00000000007,-9360.583625262472,495.0,0.0,0.0,0.0,495.0,-63055.00000000007,75,-8,0.019982803764254736,38633.22141128809,1015405.5399050703,2508.7158986520285,-15977.988409670503
2026-06-18,2026-09-18,-1008.1053964290186,-9381.783788821227,-659.9928135505843,22982.296803222678,-620.7466941174844,28.742269019913238,0.0,11340.410379324254,13760.000000000058,2419.5896206758043,135.0,0.0,0.0,0.0,135.0,13625.000000000058,74,-8,0.030153286126195073,-29575.031729903912,984632.2735980101,-1646.1890756625799,-130181.81799915674
2026-06-22,2026-09-18,400.99104002210515,-2257.7269954000053,536.8481164785753,65723.06160482237,-107.19258264310338,-1710.180546768137,0.0,62585.80063651182,69459.9999999988,6874.199363486987,90.0,0.0,0.0,0.0,90.0,69369.9999999988,76,-8,0.052104837969344744,152831.283093905,995669.942304269,-2175.855706795985,13611.826515648147
2026-06-23,2026-09-18,12371.331641762808,18355.708303487816,-475.1029274864118,-57507.01198620213,-1135.6722331047586,194.64216642573138,0.0,-28196.105035116983,-37219.99999999875,-9023.894964881765,930.0,39.21132000000001,0.0,39.21132000000001,969.21132,-38189.21131999875,78,-9,0.02410658796657295,231459.68688650124,999911.2199213599,644.2594927370072,207106.39889551525
2026-06-24,2026-08-21,-926.6570168262115,-9345.59996682511,-1071.3865884515362,-2464.6967149311286,10.098638881369112,457.9847736947404,0.0,-13340.25687445789,-21139.999999999985,-7799.743125542096,2970.0,857.0812,0.0,857.0812,3827.0812,-24967.081199999986,120,-13,0.08216492082681616,-47988.286432297624,993103.704686523,-1258.4680937183994,-333511.4046978805
2026-06-25,2026-09-18,-2323.4241440999176,-8493.549324252215,-774.9915727402858,-17677.027372926586,-609.8937044007848,49.86243015024161,0.0,-29829.02368826956,-35699.99999999936,-5870.976311729799,3045.0,863.12376,0.0,863.12376,3908.12376,-39608.12375999936,83,-9,0.015388042471905203,-3130.80836665074,997454.0585935047,-513.2032918807255,-52287.26764209967
2026-06-26,2026-09-18,12892.630453058926,33595.875479405906,-828.1541873546216,-27169.20158603131,-2223.6436823354134,872.4546127157591,0.0,17139.96108945919,19139.999999997148,2000.0389105379581,1065.0,39.20947999999999,0.0,39.20947999999999,1104.20948,18035.790519997146,86,-10,0.07753410614789163,228648.44876259036,994537.9901359003,690.4234627846961,48931.39862753695
2026-06-29,2026-09-18,948.0253812682568,1592.469306430396,138.32791636083357,8854.299965976747,122.89598884477334,451.3651067726187,0.0,12107.383665653619,13140.000000000704,1032.6163343470853,2355.0,0.0,0.0,0.0,2355.0,10785.000000000704,89,-10,0.08389415363620795,149467.81234510944,1004796.4219735397,2613.5549773350617,-53464.481144293655
2026-06-30,2026-09-18,-13230.36528526229,-31712.76642462169,-1516.687036966207,-22064.70374337415,-1151.854796726322,-312.58238075165946,0.0,-69988.95966770232,-73760.0000000007,-3771.0403322983766,30.0,0.0,0.0,0.0,30.0,-73790.0000000007,91,-10,0.028271058067553135,-71624.84267659533,998235.3321080024,1821.2047374597817,-174642.1904808942
