date,OPTION_MARGIN,SHORT_OPTION_CONTRACTS,LONG_OPTION_CONTRACTS,FUTURES_MARGIN,FUTURES_CONTRACTS,ABS_FUTURES_CONTRACTS,TOTAL_MARGIN,NET_OPENING_PREMIUM_COST,OPTION_OPENING_FEE,FUTURES_OPENING_FEE,OPENING_FEE,CUMULATIVE_PNL_BEFORE_OPENING,REQUIRED_INITIAL_CAPITAL
2026-07-15,3646419.9538,57,58,1606425.6,13,13,5252845.5538,97340.00000000001,150.0,35.52672,185.52672,711826.2554965966,4638544.825023403
2026-07-16,2062270.0156,27,28,822864.0,7,7,2885134.0156,-8400.0,2550.0,688.21888,3238.21888,610500.728776598,2269471.505703402
2026-07-17,2642945.3514,37,28,1098560.0,10,10,3741505.3514,-19779.99999999994,780.0,94.7508,874.7508,519162.509896598,3203437.5923034023
2026-07-20,3770208.1781999995,62,47,1534355.2,14,14,5304563.378199999,43880.0,2610.0,747.05472,3357.05472,554947.7590965987,4796852.673823401
2026-07-21,3586921.9020000002,49,52,1702737.669927651,15,15,5289659.571927652,-132600.0,3150.0,950.9244401041996,4100.9244401042,807110.7043765972,4354049.791991159
2026-07-22,3498830.7176,51,56,1679469.4363176152,15,15,5178300.153917615,164979.99999999997,1560.0,0.0,1560.0,909396.8598110452,4435443.29410657
2026-07-23,4058434.0490000006,69,71,1810329.6,16,16,5868763.649,60460.0,3705.0,1005.9234724563462,4710.923472456347,903452.056116775,5030482.516355682
2026-07-24,4664086.237200001,76,73,2091580.8,19,19,6755667.037200001,136060.0,2325.0,94.94675999999998,2419.94676,892221.1326443169,6001925.851315684
2026-07-27,2611177.229,46,50,1245303.248776291,11,11,3856480.477776291,48859.99999999997,3675.0,982.8298040231838,4657.829804023184,987601.1858843183,2922397.121695996
2026-07-28,4575041.967,76,77,2110732.8,19,19,6685774.767,202860.00000000006,3735.0,955.9187202088142,4690.918720208814,1060916.2337164087,5832409.4520038
