date,expiry,FIRST_DELTA_EXPOSURE,SECOND_DELTA_DELTA_EXPOSURE,FIRST_SMILE_ROLL_EXPOSURE,SECOND_SMILE_ROLL_SMILE_ROLL_EXPOSURE,FIRST_ATM_EXPOSURE,SECOND_ATM_ATM_EXPOSURE,FIRST_SKEW_EXPOSURE,SECOND_SKEW_SKEW_EXPOSURE,FIRST_CURV_EXPOSURE,SECOND_CURV_CURV_EXPOSURE,FIRST_TAU_EXPOSURE,SECOND_TAU_TAU_EXPOSURE,FIRST_R_EXPOSURE,SECOND_R_R_EXPOSURE,CROSS_DELTA_SMILE_ROLL_EXPOSURE,CROSS_DELTA_ATM_EXPOSURE,CROSS_DELTA_SKEW_EXPOSURE,CROSS_DELTA_CURV_EXPOSURE,CROSS_DELTA_TAU_EXPOSURE,CROSS_DELTA_R_EXPOSURE,CROSS_SMILE_ROLL_ATM_EXPOSURE,CROSS_SMILE_ROLL_SKEW_EXPOSURE,CROSS_SMILE_ROLL_CURV_EXPOSURE,CROSS_SMILE_ROLL_TAU_EXPOSURE,CROSS_SMILE_ROLL_R_EXPOSURE,CROSS_ATM_SKEW_EXPOSURE,CROSS_ATM_CURV_EXPOSURE,CROSS_ATM_TAU_EXPOSURE,CROSS_ATM_R_EXPOSURE,CROSS_SKEW_CURV_EXPOSURE,CROSS_SKEW_TAU_EXPOSURE,CROSS_SKEW_R_EXPOSURE,CROSS_CURV_TAU_EXPOSURE,CROSS_CURV_R_EXPOSURE,CROSS_TAU_R_EXPOSURE
2026-06-15,2026-09-18,42.9270521225028,0.04972431163644672,1098959.8144338173,1212.599617788801,152500.61572321202,2048440.9281428764,1024386.0816392284,47003.47135754078,3090.2834584501816,290.23394451257604,28422.623448246974,361651.7130967417,6799.518653129624,-1788.0413199438644,-42.779540728979555,5732.359365957285,121.81385376385151,60.012754349571345,3151.1869034202664,-427.6111485950326,3552298.98877336,101186.30229730357,1074088.783193449,4096005.9041509107,-286029.62750825577,3355078.134746387,23457.51660624346,1236596.5788172125,-39692.059914461104,46795.91278972947,3836880.380068995,-266619.89143627154,16278.674081230653,-804.3221728664998,18727.007500274573
2026-06-16,2026-09-18,-53.330063212075856,0.019982783384898145,1195982.4118433106,-59958.39164273394,38633.22021692933,1392169.5795442662,1015405.5403302545,36009.45122880816,2508.7159049622824,281.262481644933,-15977.98875521007,353048.82922655455,9942.931057101589,-2516.268674905101,1.1877388970015659,5420.098620187723,102.66137119264741,53.47147701700104,3080.5189600377676,-398.32047681813077,3467194.1841145228,14157.423709732248,1058396.8403151385,4313447.704413529,-308006.1244828519,2967706.9851429937,17441.17621412335,753869.7948113866,-9949.468133366638,36802.846991138955,3673692.9413139867,-261502.1570565601,13503.820201149,-646.0690933688247,42722.95488226673
2026-06-17,2026-09-18,-7.8031179043136945,0.03015325982504108,1151438.6386060342,-409241.1112674065,-29575.033633643296,1359518.148978603,984632.2737285935,-4631.249798484321,-1646.1890648198096,-293.63344101978373,-130181.81824850605,315165.37780358497,20343.187048865715,-5179.067051762507,-194.72678186818345,5122.239816071513,85.05824269082382,50.04814260171409,2971.2303364117843,-405.6830470091273,3173047.5915471157,-194718.11695064628,1025325.2024826691,4144385.9070003685,-293379.62137484836,2784216.801303302,-2276.5328559645423,390593.69960004557,7535.6841099090525,34737.09361044861,3568429.747491623,-250878.57596457697,-9075.901783169262,419.50350020503356,113011.38943013205
2026-06-18,2026-09-18,36.323011891795204,0.05210481537826278,1332838.7340958407,-135051.6571258374,152831.28127731662,775951.6509948997,995669.9420208659,-44779.24641863705,-2175.855717324841,-771.4648931567343,13611.826434389572,-83028.01435938678,9639.787528451896,-2455.951491558355,-86.72972359456682,5301.117822754435,69.31917234052486,50.54224402177358,3083.6743844855428,-412.4430599896302,3805758.521934613,-4589.014431740623,1044192.8503989743,4901962.010575203,-335945.27786333807,2851590.699449972,-22553.874880449395,484729.30517240986,-38521.893707228766,35540.733039830804,3659960.6617616676,-250962.66437108326,-21403.6211347466,548.453156416731,34813.751752580574
2026-06-22,2026-09-18,-99.60767469323105,0.024106552397443165,1427061.02259854,516663.8073451393,231459.68699366366,-562255.4086356638,999911.2199411953,-31415.700201675994,644.2594843435363,-287.1604682237679,207106.39912652993,-461576.3948366284,-10626.693803317277,2581.322809823575,251.60183908302764,5516.848899628774,47.921175948840755,47.27675491945091,3379.210318695698,-409.9576121596419,3766101.819989249,275721.0977827031,1040189.6703345445,5286726.986679698,-344059.84881851025,2666326.8023785427,-15662.192694447658,281969.2155617159,-55803.74139592785,28740.309299745997,3717790.4368432336,-241074.88082808678,-6796.449501663534,-155.35162911065117,-94009.59902794764
2026-06-23,2026-08-21,17.41063585334132,0.08216484385482842,1549998.5409320823,-849100.351162246,-47988.28915706999,2271616.113757899,993103.7044768077,10931.749083736198,-1258.4680976947584,-37.69621629895096,-333511.4053418448,1329265.6326136023,16492.43081326781,-2614.797267597172,-649.2788080296218,8651.256354154204,102.84246294930395,48.30436394047496,7664.5010454584135,-423.08828719892256,4175289.281838162,-294665.2429399628,1023817.8922271236,8610631.028023647,-250549.89266213498,2819492.8994042967,5490.670059074175,1032418.0701561552,7756.5336867063015,20065.87470452604,5595031.104532644,-160530.1461896429,-5100.708376711875,203.43510530009257,155939.7917009453
2026-06-24,2026-09-18,-24.13371133839496,0.015388014633292452,1305276.6817045836,-260127.79553277092,-3130.8104515743908,990890.6618778007,997454.0595265776,-39682.5956654842,-513.2032948712913,-700.7581268537813,-52287.267969559645,208149.89905384806,21815.94999181393,-5116.539291015623,-30.33914261469846,5695.428558298834,80.38075177557332,53.840818870685474,3548.6006936018825,-418.42329736371573,3928154.7472898783,-127361.545311403,1047644.5019466038,5261516.633416922,-307546.68902158376,3019964.5768052046,-19994.11960592294,382104.8730728254,737.3173913492938,37994.128381948205,4027869.1523807934,-235014.64250410942,-16986.09153213227,120.89685657618656,104910.66854177718
2026-06-25,2026-09-18,-55.231138450858,0.07753407176371382,1526471.5631535582,22576.424474534346,228648.4469319072,1626810.623801554,994537.9900774376,11765.128972401304,690.4234656332483,-75.1724648891958,48931.39834328415,171758.1779890852,4761.402201343881,-1151.3950287028074,-100.6614431433907,6052.3463109758,98.2724580332252,48.38596690335321,3706.4741686266243,-452.8913834400598,4266531.438244531,129804.42381584994,1040110.1276198288,5940990.916766647,-355479.98481478164,2806429.151025251,5898.632516337806,1219074.9369803416,-53246.89047415258,29667.445925104737,3879611.016414821,-231606.39128741375,2059.203180900644,-160.78921686672902,9051.065570233855
2026-06-26,2026-09-18,-77.65293599501456,0.08389411467391775,1246477.3195367837,-277115.07713168673,149467.80879731977,3374943.2846687725,1004796.4219110933,37560.458223312104,2613.554974257235,6.992455597626872,-53464.48192676494,821010.0136818012,22000.88037322226,-5081.801646156234,-254.62811204592452,6338.702013082887,149.89898820522166,54.461766734131004,3924.673845350293,-442.4031780541433,3629000.1448757937,-18949.440169252688,1046068.6074969184,5018822.588366854,-286860.56276790745,3089296.326715353,18805.600224881426,1943708.8900246536,-34398.54718687697,34042.59376848302,4120545.9255301086,-231240.1884880873,11856.736701872556,-601.4955331301194,107903.34072460543
2026-06-29,2026-09-18,-72.41488739111833,0.028271027503078,1292723.229824546,-522324.35826760693,-71624.84560610354,2818162.905955964,998235.3319854809,31298.209601455965,1821.204740356985,3.262215118984386,-174642.19130985404,1006356.3597578761,27385.950520889935,-6059.508450562134,-219.15877153849124,6447.010824254424,133.9168561227906,55.710572952897245,4168.499357505825,-427.76546812008746,3881944.7472483786,-222154.4234733067,1042008.1635025443,5482019.2315810975,-286880.039476785,3140512.2573770215,15661.394601290638,1227013.0243929448,15894.618083553825,34652.847765265455,4305311.019403837,-221527.41377345973,9185.418009669957,-404.092854665128,162162.09463486425
