date,expiry,DELTA_EXPOSURE,GAMMA_EXPOSURE,ATMVOL_EXPOSURE,SKEW_EXPOSURE,CURVATURE_EXPOSURE,RHO_EXPOSURE,THETA_EXPOSURE,ATMVOL_VANNA_EXPOSURE,ATMVOL_VOLGA_EXPOSURE,SMILE_ROLL_EXPOSURE
2026-06-17,2026-09-18,-7.8032296429946655,0.030153286126195222,-29575.03172990377,984632.2735980102,-1646.1890756625835,20343.187054718226,-130181.81799915677,5122.240638516352,1359519.4466934227,1151438.637989526
2026-06-18,2026-09-18,36.32289465793042,0.05210483796934476,152831.2830939046,995669.9423042691,-2175.8557067959955,9639.787532328828,13611.826515647816,5301.118670630714,775946.7918111924,1332838.7333655872
2026-06-22,2026-09-18,-99.60780223705115,0.024106587966572807,231459.6868865015,999911.21992136,644.2594927370083,-10626.693794983472,207106.398895515,5516.8498478315105,-562250.8472834313,1427061.0220818403
2026-06-23,2026-08-21,17.410327868017703,0.0821649208268162,-47988.2864322972,993103.7046865228,-1258.4680937183948,16492.430807216697,-333511.4046978806,8651.258723142804,2271616.3928625816,1549998.5402003662
2026-06-24,2026-09-18,-24.13384721045213,0.015388042471905339,-3130.8083666509483,997454.0585935047,-513.2032918807236,21815.949980932226,-52287.26764209964,5695.429574400703,990886.6994932406,1305276.6809419256
2026-06-25,2026-09-18,-55.231287072736905,0.07753410614789166,228648.4487625903,994537.9901359002,690.4234627846872,4761.402203990649,48931.398627537186,6052.347514121713,1626811.28240004,1526471.5624539908
2026-06-26,2026-09-18,-77.65309381088923,0.08389415363620775,149467.81234510895,1004796.4219735397,2613.554977335063,22000.880379160353,-53464.481144293444,6338.703284152627,3374940.314805367,1246477.3189632148
2026-06-29,2026-09-18,-72.4150543724686,0.02827105806755334,-71624.8426765938,998235.3321080022,1821.2047374597823,27385.95051299356,-174642.1904808944,6447.012013388798,2818165.2878517807,1292723.2291130477
2026-06-30,2026-09-18,-0.5971197567491799,-0.021921208010620474,-367059.8568063674,1009326.3497937621,1523.3044021485803,34444.894260474044,-414251.71173860994,6556.106071985289,3205126.686757832,1548474.1443558577
2026-07-01,2026-08-21,-47.0252798775864,-0.13254691080875125,-80678.73877192801,-1000137.1160407783,267.6639904625208,-9633.837461534837,193976.0808891717,-11764.775851782433,-2295074.896974786,-2452938.2485260298
2026-07-02,2026-08-21,-72.51892593059574,-0.08971974316719677,89727.2340531873,-1009977.3437808284,1107.5891457031867,-10047.120254915571,416676.86613809224,-11720.86060693041,-1644658.091721422,-2084823.041965421
2026-07-03,2026-09-18,-27.128095003394264,-0.061097456296145686,-67941.67561507644,-999150.6569577479,-3591.0734014248246,-20081.61498104874,78352.80037530384,-7153.923403127071,-3332340.76302908,-1712269.7963445631
2026-07-06,2026-09-18,80.83982785465469,-0.07493562489881272,-135324.45807392336,-991748.9271978242,-2078.2595664215933,-19340.907109500116,15676.4194362493,-7422.674711713055,-2860583.3919100277,-1621146.8344719799
2026-07-07,2026-09-18,-89.53143204493563,-0.09299202352467162,-249219.7949585151,-998100.7191545658,-3326.371526565621,-13713.769427323725,-112018.41688799392,-8272.268106867466,-2710072.452932451,-1802623.3434447886
2026-07-08,2026-12-18,-1.8810497482249957,0.022442797309230433,-32634.316149587277,-1007225.0668405606,-12339.485997473483,-8142.864201717268,-71945.23007552652,-3799.4033946420864,-924850.8101605335,-209871.28285700871
2026-07-09,2026-08-21,62.26558108370318,-0.05468507132715916,125975.75242782384,-999940.8360173355,543.9883271608287,-7820.876078613452,410580.2699803305,-14784.598724646208,-1289068.3651855728,-2119230.960401404
2026-07-10,2026-08-21,-78.33156065746698,-0.052161055761910435,-2195.4938395076897,-986361.7475791974,-192.20023566210148,-3281.8706324082814,112601.32928886358,-15335.347033737853,-961876.0422479911,-1288840.0529379565
2026-07-13,2026-12-18,98.0060866108413,0.03646419267036087,-217649.897266221,-1008180.3286057109,-17003.27453028453,39818.163727695326,-227010.84390940453,-3770.47023697033,-165997.5763960653,15445.754889629417
2026-07-14,2026-09-18,-65.19201512608242,-0.06413002585907834,-93105.91300131427,-994139.0387231401,-2063.7991472035646,-11106.418433264265,23613.500775607186,-7601.587905304434,-2013863.2588748755,-1331392.2646699066
2026-07-15,2026-09-18,66.10620314448624,-0.07141332196439093,-53329.677115641185,-1004880.2093739545,-4125.174644843917,-16696.490401486895,112356.73076677334,-7547.532733690914,-3109820.3236112082,-1258904.3251101335
2026-07-16,2026-12-18,-30.360478801551608,0.049007397881356614,40102.731485526136,-986619.7425445919,-18563.129395913224,3432.7285702325826,-86829.11043782523,-3616.303783409844,-1606943.847523321,-135179.3436379263
2026-07-17,2026-12-18,-18.57463504771431,-0.03361428941180594,-938758.7444959726,-1014056.9149436227,-51769.43433703411,4671.229571289185,-604074.0942668779,-3611.056221803609,-5845484.846181555,-49521.3305281976
2026-07-20,2026-09-18,-20.78171910445235,-0.20596361122331597,-828119.1463979629,-954975.1843920896,-31735.022259602334,-7500.03443215341,-1248953.9281118107,-5162.535332928098,-4905555.0594107155,-478347.9154167043
2026-07-21,2026-10-16,66.60667537051995,-0.10299817435653658,-442841.54050632985,-1007322.9017846242,4113.102280752881,30644.42675731184,-328427.0757792138,-5546.212362236747,1056329.4346068013,-1491218.587473445
2026-07-22,2026-10-16,75.81040844855443,-0.010902986144839866,321605.19181289175,-1000286.3865010588,-606.815823157367,-39948.09965076205,437097.7783144824,-6557.298934836755,-1955987.7358221896,-1953434.1311855402
2026-07-23,2026-09-18,54.44635295822263,-0.15209906504983706,-77598.60558957863,-995287.0192380516,-1019.8258608167689,-11091.251663322953,204205.04954205384,-9608.339151689996,-2506853.233815941,-2168335.7062904406
2026-07-24,2026-09-18,-59.57390272493376,-0.16843109753651447,-37311.37659686664,-984673.4765483543,-7269.485639352868,-24879.873149882023,332861.5369486853,-9020.732612667645,-4498735.401908625,-2219164.2324696244
2026-07-27,2026-10-16,95.07769838146987,-0.04435944593965907,-34747.77526649297,-993357.3657491592,-429.4695361855538,-7421.325410194382,51882.753008369706,-7212.575858536064,-1077487.0778800994,-2768742.8716354836
2026-07-28,2026-09-18,-94.27874604046883,-0.145425083981572,209504.0343336505,-1005173.8148155084,-3413.9697657802653,-31301.938996024444,898438.2102117236,-8883.50755617483,-3956298.554489386,-2626330.0631302013
