date,DELTA_PNL,SMILE_ROLL_PNL,GAMMA_PNL,ATMVOL_PNL,SKEW_PNL,CURVATURE_PNL,RHO_PNL,THETA_PNL,ATMVOL_VANNA_PNL,ATMVOL_VOLGA_PNL,MODEL_RESIDUAL,MARKET_NOISE,TOTAL_RESIDUAL,FEE_PNL,MODEL_PNL,MARKET_PNL,ACTUAL_PNL_AFTER_FEES
2026-06-02,-299.8621319396916,-3275.6561231309124,8.871006860402218,-127.18354687741339,-27481.86677144696,34.38399199462492,0.0,163.46273053067762,-1353.683027328779,8.572325278689064,-594.4082998424601,-5402.6301540953245,-5997.038453937785,-3262.6384,-32917.36984590182,-38319.99999999714,-41582.638399997144
2026-06-03,-2549.030514320737,-8146.220301630777,106.66334627191497,-1258.2748377633034,-64312.82225889094,-84.43504232664486,0.0,141.5590432761146,-4618.512294090138,43.45038860126084,966.6667010738456,1410.955769802371,2377.6224708762165,-135.0,-79710.9557697994,-78299.99999999703,-78434.99999999703
2026-06-04,-657.7717054547829,2651.2561261630467,15.86447946937578,119.51987292166632,-8220.87317412444,-57.99392169560883,0.0,1037.9566895508597,-224.41324675270846,2.601595783769283,703.3369678784584,-2049.4836837426637,-1346.1467158642054,-3683.16068,-4630.516316260364,-6680.000000003027,-10363.160680003028
2026-06-05,-1231.6414052572218,16815.15086973493,491.07554347928726,-83.53675922379443,7237.888910682679,50.833229079390776,0.0,1460.1410593291248,-7245.179093831889,88.12369854555573,2055.444787861863,3681.6991596000726,5737.143947461936,-128.1064,19638.300840399927,23320.0,23191.8936
2026-06-08,-4469.245947914198,133372.84239558727,2950.8659140903237,-9147.430157863753,85148.48235880524,-934.3374339649708,0.0,8917.021736236089,-26550.636646502917,435.07701767482286,-31532.32980436395,13638.699797701545,-17893.630006662406,-6145.028987123563,158190.30943178397,171829.00922948553,165683.98024236195
2026-06-09,6854.408907483099,-55926.577007720734,7935.599958402594,-20517.959949966687,-34669.25896877712,2109.522041334021,0.0,-1459.9776290195377,-45168.594070103936,1542.898946167484,1227.689413397602,-11807.75164119572,-10580.062227798118,-6354.953859911284,-138072.24835880322,-149879.99999999895,-156234.95385991022
2026-06-10,-2233.2871196813066,52458.956850286195,2707.593232611893,1498.7281486934899,35384.54851046337,1983.092273955118,0.0,2008.527955483437,-6527.674219192504,117.86845104901322,-1933.9342537570483,44953.77795507203,43019.84370131498,-6159.835882124735,85464.41982991167,130418.1977849837,124258.36190285896
2026-06-11,-2396.8044045615825,15321.906470856013,195.7370604909603,-82.0686574954143,-12279.504397103054,13.801688984831912,0.0,2089.2106254085024,-2026.0619823703164,140.25517891941655,944.8085952652038,-3847.301123602243,-2902.4925283370394,-1485.0,1921.2801783945615,-1926.0209452076815,-3411.0209452076815
2026-06-12,2509.4486538712954,-18910.768804278032,167.62753829267706,3478.4025130517093,135240.42200612105,-3180.7032041212105,0.0,2826.1346044960155,-3114.8287061728183,297.2628352072321,1028.06606255738,-10407.472532826218,-9379.406470268837,-1701.9387881371613,120341.0634990253,109933.59096619909,108231.65217806192
2026-06-15,-28.35541985591408,-5072.83868467503,10.825889227254109,-9066.374558242387,631260.4819129866,13130.536089191519,0.0,5693.2390612535455,3647.364618759192,1095.4167655041806,-27773.509772723424,107115.10647928675,79341.59670656333,-1612.1433672377168,612896.7859014255,720011.8923807123,718399.7490134746
