date,DAILY_FIRST_DELTA,CUMULATIVE_FIRST_DELTA,DAILY_SECOND_DELTA_DELTA,CUMULATIVE_SECOND_DELTA_DELTA,DAILY_FIRST_SMILE_ROLL,CUMULATIVE_FIRST_SMILE_ROLL,DAILY_SECOND_SMILE_ROLL_SMILE_ROLL,CUMULATIVE_SECOND_SMILE_ROLL_SMILE_ROLL,DAILY_FIRST_ATM,CUMULATIVE_FIRST_ATM,DAILY_SECOND_ATM_ATM,CUMULATIVE_SECOND_ATM_ATM,DAILY_FIRST_SKEW,CUMULATIVE_FIRST_SKEW,DAILY_SECOND_SKEW_SKEW,CUMULATIVE_SECOND_SKEW_SKEW,DAILY_FIRST_CURV,CUMULATIVE_FIRST_CURV,DAILY_SECOND_CURV_CURV,CUMULATIVE_SECOND_CURV_CURV,DAILY_FIRST_TAU,CUMULATIVE_FIRST_TAU,DAILY_SECOND_TAU_TAU,CUMULATIVE_SECOND_TAU_TAU,DAILY_FIRST_R,CUMULATIVE_FIRST_R,DAILY_SECOND_R_R,CUMULATIVE_SECOND_R_R,DAILY_CROSS_DELTA_SMILE_ROLL,CUMULATIVE_CROSS_DELTA_SMILE_ROLL,DAILY_CROSS_DELTA_ATM,CUMULATIVE_CROSS_DELTA_ATM,DAILY_CROSS_DELTA_SKEW,CUMULATIVE_CROSS_DELTA_SKEW,DAILY_CROSS_DELTA_CURV,CUMULATIVE_CROSS_DELTA_CURV,DAILY_CROSS_DELTA_TAU,CUMULATIVE_CROSS_DELTA_TAU,DAILY_CROSS_DELTA_R,CUMULATIVE_CROSS_DELTA_R,DAILY_CROSS_SMILE_ROLL_ATM,CUMULATIVE_CROSS_SMILE_ROLL_ATM,DAILY_CROSS_SMILE_ROLL_SKEW,CUMULATIVE_CROSS_SMILE_ROLL_SKEW,DAILY_CROSS_SMILE_ROLL_CURV,CUMULATIVE_CROSS_SMILE_ROLL_CURV,DAILY_CROSS_SMILE_ROLL_TAU,CUMULATIVE_CROSS_SMILE_ROLL_TAU,DAILY_CROSS_SMILE_ROLL_R,CUMULATIVE_CROSS_SMILE_ROLL_R,DAILY_CROSS_ATM_SKEW,CUMULATIVE_CROSS_ATM_SKEW,DAILY_CROSS_ATM_CURV,CUMULATIVE_CROSS_ATM_CURV,DAILY_CROSS_ATM_TAU,CUMULATIVE_CROSS_ATM_TAU,DAILY_CROSS_ATM_R,CUMULATIVE_CROSS_ATM_R,DAILY_CROSS_SKEW_CURV,CUMULATIVE_CROSS_SKEW_CURV,DAILY_CROSS_SKEW_TAU,CUMULATIVE_CROSS_SKEW_TAU,DAILY_CROSS_SKEW_R,CUMULATIVE_CROSS_SKEW_R,DAILY_CROSS_CURV_TAU,CUMULATIVE_CROSS_CURV_TAU,DAILY_CROSS_CURV_R,CUMULATIVE_CROSS_CURV_R,DAILY_CROSS_TAU_R,CUMULATIVE_CROSS_TAU_R,DAILY_MODEL_PNL,CUMULATIVE_MODEL_PNL,DAILY_MARKET_PNL,CUMULATIVE_MARKET_PNL,DAILY_ACTUAL_PNL_AFTER_FEES,CUMULATIVE_ACTUAL_PNL_AFTER_FEES,DAILY_FEE_PNL,CUMULATIVE_FEE_PNL,DAILY_MODEL_RESIDUAL,CUMULATIVE_MODEL_RESIDUAL,DAILY_TOTAL_RESIDUAL,CUMULATIVE_TOTAL_RESIDUAL,DAILY_MARKET_NOISE,CUMULATIVE_MARKET_NOISE
2026-06-02,-299.8506018275657,-299.8506018275657,8.870978291164505,8.870978291164505,-3275.656124064613,-3275.656124064613,-0.2809998550724009,-0.2809998550724009,-127.18354499025554,-127.18354499025554,8.572541902114892,8.572541902114892,-27481.86676491132,-27481.86676491132,4.686881335574814,4.686881335574814,34.38399511580974,34.38399511580974,3.984892587174354,3.984892587174354,163.46273103845488,163.46273103845488,2.014425207192189,2.014425207192189,0.0,0.0,0.0,0.0,8.471053689077216,8.471053689077216,-1353.6825139701207,-1353.6825139701207,-42.694197821147895,-42.694197821147895,353.9292632356471,353.9292632356471,-762.822616660058,-762.822616660058,0.0,0.0,43.270041428398386,43.270041428398386,-1.0631684760469682,-1.0631684760469682,-1029.708547155598,-1029.708547155598,60.118880360500285,60.118880360500285,0.0,0.0,364.32232932379395,364.32232932379395,-11.774468426464608,-11.774468426464608,8.220367920969636,8.220367920969636,0.0,0.0,-124.88879817470206,-124.88879817470206,504.8736886566836,504.8736886566836,0.0,0.0,-6.138901597844878,-6.138901597844878,0.0,0.0,0.0,0.0,-32917.36984590182,-32917.36984590182,-38319.99999999714,-38319.99999999714,-41582.638399997144,-41582.638399997144,-3262.6384,-3262.6384,31.059331936427043,31.059331936427043,-5371.5708221588975,-5371.5708221588975,-5402.6301540953245,-5402.6301540953245
2026-06-03,-2549.006575180916,-2848.857177008482,106.66321763122733,115.53419592239183,-8146.220303714868,-11421.876427779482,-2.016264164198759,-2.29726401927116,-1258.2748286501774,-1385.458373640433,43.45035738554469,52.022899287659584,-64312.82222243804,-91794.68898734936,16.204508377176836,20.89138971275165,-84.43504220621139,-50.05104709040165,0.31180681970359014,4.296699406877944,141.55904326769178,305.02177430614665,1.312200657049539,3.326625864241728,0.0,0.0,0.0,0.0,91.89326177700558,100.36431546608279,-4618.510470878895,-5972.192984849015,-203.72703755011742,-246.4212353712653,304.77190436409114,658.7011675997383,-1543.1485444576601,-2305.971161117718,0.0,0.0,192.9559840525647,236.22602548096307,7.006612389916199,5.943443913869231,-852.2535797941946,-1881.9621269497925,155.7220558258628,215.84093618636308,0.0,0.0,1534.797880498472,1899.1202098222661,-6.302605401433894,-18.077073827898502,30.1542541627025,38.374622083672136,0.0,0.0,-132.78741103176202,-257.6762092064641,1230.621549599624,1735.4952382563074,0.0,0.0,-0.07813339202333225,-6.2170349898682105,0.0,0.0,0.0,0.0,-79710.9557697994,-112628.32561570122,-78299.99999999703,-116619.99999999418,-78434.99999999703,-120017.63839999418,-135.0,-3397.6384,141.2026122524985,172.26194418892555,1552.1583820548694,-3819.412440104028,1410.955769802371,-3991.6743842929536
2026-06-04,-657.7799320070772,-3506.637109015559,15.864466354356182,131.398662276748,2651.256126239273,-8770.62030154021,-0.794978807136542,-3.092242826407702,119.5198680792796,-1265.9385055611533,2.601585579421517,54.6244848670811,-8220.873174385717,-100015.56216173508,0.1633705568814836,21.054760269633135,-57.993921293071935,-108.04496838347359,-0.09856928299374479,4.1981301238842,1037.9566914583556,1342.9784657645023,8.633847025748297,11.960472889990026,0.0,0.0,0.0,0.0,22.53103161021722,122.8953470763,-224.41314720301494,-6196.60613205203,11.009487094739221,-235.41174827652608,-43.2040312548028,615.4971363449355,492.5728442205948,-1813.3983168971233,0.0,0.0,8.424164235960108,244.6501897169232,2.1245414177012343,8.067985331570465,132.38812119752927,-1749.5740057522632,-49.26972101302722,166.57121517333587,0.0,0.0,-27.85146291624217,1871.268746906024,0.30892048387873494,-17.768153344019765,-8.338032260934469,30.036589822737668,0.0,0.0,-6.803738386142767,-264.47994759260683,154.96713754056293,1890.4623757968702,0.0,0.0,1.0981157141045443,-5.118919275763666,0.0,0.0,0.0,0.0,-4630.516316260364,-117258.8419319616,-6680.000000003027,-123299.9999999972,-10363.160680003028,-130380.7990799972,-3683.16068,-7080.79908,5.484073741190514,177.74601793011607,-2043.9996100014732,-5863.412050105501,-2049.4836837426637,-6041.158068035617
2026-06-05,-1231.6922160423128,-4738.329325057872,491.0751355790303,622.4737978557783,16815.150874461477,8044.530572921267,-39.58901027641096,-42.68125310281866,-83.5367861435152,-1349.4752917046685,88.12375440833483,142.74823927541593,7237.8889105834505,-92777.67325115163,0.34332074678165125,21.398081016414785,50.833224062774434,-57.211744320699154,0.09259736394289764,4.290727487827097,1460.1410627934192,2803.1195285579215,13.397057669106267,25.357530559096293,0.0,0.0,0.0,0.0,860.148295769159,983.043642845459,-7245.175842901821,-13441.78197495385,-65.08862781221552,-300.50037608874163,623.1194544422243,1238.6165907871598,3070.7728179875694,1257.374501090446,0.0,0.0,279.74043629845744,524.3906260153806,-17.388064038406412,-9.320078706835947,-1900.3200710711894,-3649.8940768234525,-318.4710297560842,-151.89981458274832,0.0,0.0,131.0906525346627,2002.3593994406867,-10.779167359527946,-28.54732070354771,-48.086284807230584,-18.049694984492916,0.0,0.0,-14.309051514267676,-278.7889991068745,-140.06826956348493,1750.3941062333852,0.0,0.0,1.1234646202396021,-3.995454655524064,0.0,0.0,0.0,0.0,19638.300840399927,-97620.54109156167,23320.0,-99979.9999999972,23191.8936,-107188.90547999721,-128.1064,-7208.905479999999,-370.2357976342173,-192.48977970410124,3311.4633619658557,-2551.9486881396456,3681.699159600073,-2359.4589084355443
2026-06-08,-4469.297706539743,-9207.627031597614,2950.864148907247,3573.3379467630252,133372.84242281382,141417.3729957351,-2244.990413181865,-2287.6716662846834,-9147.430208614067,-10496.905500318735,435.0773688409108,577.8256081163267,85148.48236197536,-7629.190889176272,338.4605830134218,359.8586640298366,-934.3374355661617,-991.5491798868609,381.7470814415723,386.0378089293994,8917.021749609537,11720.141278167459,112.67182700413724,138.02935756323353,0.0,0.0,0.0,0.0,11546.885286608016,12529.928929453476,-26550.629739688648,-39992.4117146425,-3366.890305897996,-3667.3906819867375,9349.477193980278,10588.093784767438,9774.889702921362,11032.264204011808,0.0,0.0,2547.5405900633377,3071.9312160787185,-1932.960212632881,-1942.280291339717,-41924.96553752488,-45574.85961434833,-3583.4578623476964,-3735.3576769304445,0.0,0.0,2062.0199580843328,4064.3793575250193,-894.4993117141684,-923.0466324177161,-51.74984349526903,-69.79953847976195,0.0,0.0,-1114.1306461696388,-1392.9196452765132,-2411.8023946645194,-661.4082884311342,0.0,0.0,311.30713180729003,307.311677151766,0.0,0.0,0.0,0.0,158190.30943178397,60569.768340222305,171829.00922948553,71849.00922948832,165683.98024236195,58495.07476236475,-6145.028987123563,-13353.934467123563,-10431.83635724918,-10624.326136953281,3206.8634404523664,654.9147523127208,13638.699797701545,11279.240889266
2026-06-09,6854.508630932658,-2353.1184006649564,7935.597764800383,11508.935711563408,-55926.5770066054,85490.79598912969,317.78003079870996,-1969.8916354859734,-20517.959815383685,-31014.86531570242,1542.89909759621,2120.724705712537,-34669.258971761854,-42298.449860938126,36.482712902606764,396.3413769324433,2109.5220429200294,1117.9728630331686,14.044349717987714,400.0821586473871,-1459.9776209653319,10260.163657202127,19.568309009849628,157.59766657308316,0.0,0.0,0.0,0.0,3754.450437802457,16284.379367255933,-45168.57433354449,-85160.98604818698,-1350.133029355895,-5017.523711342632,2312.99865686889,12901.092441636327,-7233.839666933818,3798.42453707799,0.0,0.0,2112.646228267135,5184.577444345854,542.708330866312,-1399.571960473405,-8489.888258108056,-54064.747872456384,1064.0879183537363,-2671.269758576708,0.0,0.0,1492.2058186427937,5556.585176167813,-292.13748973029453,-1215.1841221480106,691.131587959954,621.332049480192,0.0,0.0,-97.39941390827485,-1490.319059184788,683.3961588297176,21.987870398583368,0.0,0.0,-70.0988645075466,237.2128126442194,0.0,0.0,0.0,0.0,-138072.24835880322,-77502.48001858091,-149879.99999999895,-78030.99077051063,-156234.95385991022,-97739.87909754548,-6354.953859911284,-19708.888327034845,5719.568035732227,-4904.758101221054,-6088.183605463493,-5433.268853150772,-11807.75164119572,-528.5107519297198
2026-06-10,-2233.3152723672683,-4586.433673032225,2707.5926348901567,14216.528346453564,52458.9568612562,137949.7528503859,-293.8129238205032,-2263.7045593064768,1498.7280991852022,-29516.137216517218,117.8683052511777,2238.5930109637147,35384.54850989338,-6913.901351044748,6.015007380741139,402.35638431318444,1983.092272791575,3101.0651358247433,-7.062079374246084,393.020079273141,2008.5279582625008,12268.691615464628,7.533553236212703,165.13121980929586,0.0,0.0,0.0,0.0,3552.3872271303917,19836.766594386325,-6527.672378079755,-91688.65842626675,-611.633119181565,-5629.156830524197,1476.539150945384,14377.63159258171,1741.6551444370386,5540.079681515029,0.0,0.0,487.4329845451332,5672.010428890987,-167.56882568678418,-1567.1407861601892,-6248.667363833454,-60313.41523628984,-512.9606163776365,-3184.230374954345,0.0,0.0,429.42342084094366,5986.008597008757,-14.235410766236384,-1229.419532914247,-44.8955079636053,576.4365415165868,0.0,0.0,-121.47034554998031,-1611.7894047347684,-359.72242894239275,-337.7345585438094,0.0,0.0,-18.49433933171533,218.71847331250407,0.0,0.0,0.0,0.0,85464.41982991167,7961.939811330754,130418.1977849837,52387.20701447307,124258.36190285896,26518.482805313484,-6159.835882124735,-25868.72420915958,-1234.3706888591842,-6139.128790080238,43719.407266212846,38286.13841306207,44953.77795507203,44425.26720314231
2026-06-11,-2396.8134113285196,-6983.247084360744,195.73701863726097,14412.265365090825,15321.9064736091,153271.659323995,-26.942215511300077,-2290.646774817777,-82.06870532621724,-29598.205921843437,140.25532921343756,2378.8483401771523,-12279.50439756105,-19193.405748605797,4.710042704756681,407.0664270179411,13.801688966396597,3114.86682479114,0.032900330339415924,393.0529796034804,2089.210630514746,14357.902245979374,11.910554792096047,177.0417746013919,0.0,0.0,0.0,0.0,290.92969564296385,20127.69629002929,-2026.0614465778046,-93714.71987284455,94.06460337197036,-5535.092227152227,-22.357938455109252,14355.273654126602,573.5218794919102,6113.601561006939,0.0,0.0,139.7343239314497,5811.744752822437,20.651906912031237,-1546.488879248158,85.78932252120622,-60227.625913768636,-150.74840918480987,-3334.978784139155,0.0,0.0,-157.44807136352506,5828.560525645232,3.9194556551455477,-1225.5000772591013,-55.88229791158541,520.5542436050014,0.0,0.0,-2.240880643886638,-1614.030285378655,129.97803914315801,-207.75651940065137,0.0,0.0,-0.8910020583239147,217.82747125418015,0.0,0.0,0.0,0.0,1921.2801783945615,9883.219989725316,-1926.0209452076815,50461.186069265386,-3411.0209452076815,23107.461860105803,-1485.0,-27353.72420915958,6.085088878703573,-6133.0437012015345,-3841.2160347235395,34444.92237833853,-3847.301123602243,40577.96607954007
2026-06-12,2509.4592120590823,-4473.787872301662,167.62748823968246,14579.892853330508,-18910.768807802742,134360.89051619224,-55.754022520883964,-2346.400797338661,3478.4025919079377,-26119.8033299355,297.263175768451,2676.111515945603,135240.42200644908,116047.01625784328,701.2690961182452,1108.3355231361863,-3180.7032013048174,-65.83637651367735,65.45169777493075,458.5046773784112,2826.1346125599766,17184.03685853935,17.752460190884328,194.79423479227623,0.0,0.0,0.0,0.0,383.1808330489549,20510.877123078244,-3114.8278862800935,-96829.54775912465,1575.9974891543234,-3959.0947379979034,-1217.477602197441,13137.796051929161,-688.3771589512731,5425.224402055665,0.0,0.0,198.44225798756932,6010.187010810006,545.0871218870318,-1001.4017573611261,4503.273628898846,-55724.35228486979,182.7665589465881,-3152.2122251925666,0.0,0.0,-2313.8393014101052,3514.7212242351266,272.57485982486924,-952.9252174342321,76.87266795073845,597.4269115557398,0.0,0.0,-1088.1946066167716,-2702.2248919954263,-1463.7096572640367,-1671.466176664688,0.0,0.0,68.41101397072917,286.2384852249093,0.0,0.0,0.0,0.0,120341.0634990253,130224.28348875062,109933.59096619909,160394.77703546447,108231.65217806192,131339.11403816773,-1701.9387881371613,-29055.662997296742,-735.6730293644359,-6868.7167305659705,-11143.145562190653,23301.776816147878,-10407.472532826218,30170.493546713853
2026-06-15,-28.35123672827467,-4502.139109029937,10.825880392205676,14590.718733722713,-5072.838684891219,129288.05183130103,-4.692248729685097,-2351.093046068346,-9066.37466788105,-35186.17799781655,1095.4162452367364,3771.5277611823394,631260.4818516453,747307.4981094885,2549.296150551252,3657.6316736874387,13130.536107609805,13064.699731096127,11.386903012667972,469.8915803910792,5693.239069145571,22877.275927684925,68.30316257079139,263.0973973630676,0.0,0.0,0.0,0.0,36.457892519247906,20547.33501559749,3647.363610433607,-93182.18414869104,1199.169000615075,-2759.9257373828286,-3485.1199736514545,9652.676078277706,-784.4138227443723,4640.810579311294,0.0,0.0,-241.61947367807903,5768.567537131927,807.862403073259,-193.53935428786713,12783.14283113164,-42941.20945373815,163.78549060747585,-2988.426734585091,0.0,0.0,34266.52656272035,37781.24778695547,-1097.534256632901,-2050.4594740671328,-76.47633849564772,520.9505730600921,0.0,0.0,-40030.69351042858,-42732.91840242401,-20972.534546517385,-22644.000723182075,0.0,0.0,-283.1682508879753,3.070234336933993,0.0,0.0,0.0,0.0,612896.7859014255,743121.0693901761,720011.8923807123,880406.6694161769,718399.7490134746,849738.8630516423,-1612.1433672377168,-30667.80636453446,-12683.190248572966,-19551.906979138937,94431.91623071379,117733.69304686166,107115.10647928675,137285.6000260006
