date,MODEL_PNL,MARKET_PNL,ACTUAL_PNL_AFTER_FEES,FEE_PNL,FIRST_DELTA,SECOND_DELTA_DELTA,FIRST_SMILE_ROLL,SECOND_SMILE_ROLL_SMILE_ROLL,FIRST_ATM,SECOND_ATM_ATM,FIRST_SKEW,SECOND_SKEW_SKEW,FIRST_CURV,SECOND_CURV_CURV,FIRST_TAU,SECOND_TAU_TAU,FIRST_R,SECOND_R_R,CROSS_DELTA_SMILE_ROLL,CROSS_DELTA_ATM,CROSS_DELTA_SKEW,CROSS_DELTA_CURV,CROSS_DELTA_TAU,CROSS_DELTA_R,CROSS_SMILE_ROLL_ATM,CROSS_SMILE_ROLL_SKEW,CROSS_SMILE_ROLL_CURV,CROSS_SMILE_ROLL_TAU,CROSS_SMILE_ROLL_R,CROSS_ATM_SKEW,CROSS_ATM_CURV,CROSS_ATM_TAU,CROSS_ATM_R,CROSS_SKEW_CURV,CROSS_SKEW_TAU,CROSS_SKEW_R,CROSS_CURV_TAU,CROSS_CURV_R,CROSS_TAU_R,T1_DELTA,T2_DELTA,SH_DELTA,T1_SMILE_ROLL,T2_SMILE_ROLL,SH_SMILE_ROLL,T1_ATM,T2_ATM,SH_ATM,T1_SKEW,T2_SKEW,SH_SKEW,T1_CURV,T2_CURV,SH_CURV,T1_TAU,T2_TAU,SH_TAU,T1_R,T2_R,SH_R,T1_MODEL_RESIDUAL,T1_TOTAL_RESIDUAL,T1_MARKET_NOISE,T2_MODEL_RESIDUAL,T2_TOTAL_RESIDUAL,T2_MARKET_NOISE,SH_MODEL_RESIDUAL,SH_TOTAL_RESIDUAL,SH_MARKET_NOISE
2026-06-02,-32917.36984590182,-38319.99999999714,-41582.638399997144,-3262.6384,-299.8506018275657,8.870978291164505,-3275.656124064613,-0.2809998550724009,-127.18354499025554,8.572541902114892,-27481.86676491132,4.686881335574814,34.38399511580974,3.984892587174354,163.46273103845488,2.014425207192189,0.0,0.0,8.471053689077216,-1353.6825139701207,-42.694197821147895,353.9292632356471,-762.822616660058,0.0,43.270041428398386,-1.0631684760469682,-1029.708547155598,60.118880360500285,0.0,364.32232932379395,-11.774468426464608,8.220367920969636,0.0,-124.88879817470206,504.8736886566836,0.0,-6.138901597844878,0.0,0.0,-299.8506018275657,-1189.3791292997048,-1188.3917304533243,-3275.656124064613,-3735.39299399652,-3723.22938329667,-127.18354499025554,-593.4331249498518,-593.6178715815167,-27481.86676491132,-27126.90495682145,-27119.5709903363,34.38399511580974,-370.9218383564953,-362.2082086950304,163.46273103845488,67.6028655857699,69.64833846096008,0.0,0.0,0.0,-1930.6595362623266,-7333.289690357651,-5402.6301540953245,31.059331936427043,-5371.5708221588975,-5402.6301540953245,5.820766091346741e-11,-5402.630154095266,-5402.6301540953245
2026-06-03,-79710.9557697994,-78299.99999999703,-78434.99999999703,-135.0,-2549.006575180916,106.66321763122733,-8146.220303714868,-2.016264164198759,-1258.2748286501774,43.45035738554469,-64312.82222243804,16.204508377176836,-84.43504220621139,0.31180681970359014,141.55904326769178,1.312200657049539,0.0,0.0,91.89326177700558,-4618.510470878895,-203.72703755011742,304.77190436409114,-1543.1485444576601,0.0,192.9559840525647,7.006612389916199,-852.2535797941946,155.7220558258628,0.0,1534.797880498472,-6.302605401433894,30.1542541627025,0.0,-132.78741103176202,1230.621549599624,0.0,-0.07813339202333225,0.0,0.0,-2549.006575180916,-5426.7038009224925,-5372.75890366704,-8146.220303714868,-8350.57440075349,-8310.852086129911,-1258.2748286501774,-2648.2769500479462,-2660.595304054137,-64312.82222243804,-63078.6619171078,-63026.39399897205,-84.43504220621139,-427.4481480141694,-416.67189670318226,141.55904326769178,79.50683479399049,76.31641972771013,0.0,0.0,0.0,-3501.755840876882,-2090.800071074511,1410.955769802371,141.2026122524985,1552.1583820548694,1410.955769802371,-7.8580342233181e-10,1410.9557698015851,1410.955769802371
2026-06-04,-4630.516316260364,-6680.000000003027,-10363.160680003028,-3683.16068,-657.7799320070772,15.864466354356182,2651.256126239273,-0.794978807136542,119.5198680792796,2.601585579421517,-8220.873174385717,0.1633705568814836,-57.993921293071935,-0.09856928299374479,1037.9566914583556,8.633847025748297,0.0,0.0,22.53103161021722,-224.41314720301494,11.009487094739221,-43.2040312548028,492.5728442205948,0.0,8.424164235960108,2.1245414177012343,132.38812119752927,-49.26972101302722,0.0,-27.85146291624217,0.30892048387873494,-8.338032260934469,0.0,-6.803738386142767,154.96713754056293,0.0,1.0981157141045443,0.0,0.0,-657.7799320070772,-512.6673734188516,-510.35123240660323,2651.256126239273,2708.560216156328,2708.0854733198003,119.5198680792796,-3.813325171474389,-3.5390928240803987,-8220.873174385717,-8153.986821453525,-8152.572360489239,-57.993921293071935,-16.19879669878219,-16.829183467872895,1037.9566914583556,1342.1057105847503,1344.6900796076388,0.0,0.0,0.0,497.39802564859474,-1552.085658094069,-2049.4836837426637,5.484073741190514,-2043.9996100014732,-2049.4836837426637,-7.275957614183426e-12,-2049.483683742671,-2049.4836837426637
2026-06-05,19638.300840399927,23320.0,23191.8936,-128.1064,-1231.6922160423128,491.0751355790303,16815.150874461477,-39.58901027641096,-83.5367861435152,88.12375440833483,7237.8889105834505,0.34332074678165125,50.833224062774434,0.09259736394289764,1460.1410627934192,13.397057669106267,0.0,0.0,860.148295769159,-7245.175842901821,-65.08862781221552,623.1194544422243,3070.7728179875694,0.0,279.74043629845744,-17.388064038406412,-1900.3200710711894,-318.4710297560842,0.0,131.0906525346627,-10.779167359527946,-48.086284807230584,0.0,-14.309051514267676,-140.06826956348493,0.0,1.1234646202396021,0.0,0.0,-1231.6922160423128,-2118.729031720839,-2474.1895829108544,16815.150874461477,16227.416647786033,16170.709938452786,-83.5367861435152,-3442.018134852917,-3403.233812882054,7237.8889105834505,7185.350551133377,7163.027258092221,50.833224062774434,-599.6568640145433,-591.4519074588961,1460.1410627934192,2756.1734697030342,2773.4389471071254,0.0,0.0,0.0,-4610.484229315367,-928.7850697152941,3681.699159600073,-370.2357976342173,3311.4633619658557,3681.699159600073,-4.001776687800884e-10,3681.699159599673,3681.699159600073
2026-06-08,158190.30943178397,171829.00922948553,165683.98024236195,-6145.028987123563,-4469.297706539743,2950.864148907247,133372.84242281382,-2244.990413181865,-9147.430208614067,435.0773688409108,85148.48236197536,338.4605830134218,-934.3374355661617,381.7470814415723,8917.021749609537,112.67182700413724,0.0,0.0,11546.885286608016,-26550.629739688648,-3366.890305897996,9349.477193980278,9774.889702921362,0.0,2547.5405900633377,-1932.960212632881,-41924.96553752488,-3583.4578623476964,0.0,2062.0199580843328,-894.4993117141684,-51.74984349526903,0.0,-1114.1306461696388,-2411.8023946645194,0.0,311.30713180729003,0.0,0.0,-4469.297706539743,-1141.5674886709312,-9339.82919760968,133372.84242281382,114454.3731417149,112489.92588908826,-9147.430208614067,-20156.01201314837,-20100.94203780978,85148.48236197536,82105.06114434844,80463.34244502438,-934.3374355661617,-17688.995938935153,-16693.436146225933,8917.021749609537,11049.286943724257,11371.248479317848,0.0,0.0,0.0,-54696.97175189477,-41058.271954193224,13638.699797701549,-10431.83635724918,3206.8634404523664,13638.699797701545,-1.1350493878126144e-09,13638.69979770041,13638.699797701545
2026-06-09,-138072.24835880322,-149879.99999999895,-156234.95385991022,-6354.953859911284,6854.508630932658,7935.597764800383,-55926.5770066054,317.78003079870996,-20517.959815383685,1542.89909759621,-34669.258971761854,36.482712902606764,2109.5220429200294,14.044349717987714,-1459.9776209653319,19.568309009849628,0.0,0.0,3754.450437802457,-45168.57433354449,-1350.133029355895,2312.99865686889,-7233.839666933818,0.0,2112.646228267135,542.708330866312,-8489.888258108056,1064.0879183537363,0.0,1492.2058186427937,-292.13748973029453,691.131587959954,0.0,-97.39941390827485,683.3961588297176,0.0,-70.0988645075466,0.0,0.0,6854.508630932658,-9052.44257184863,-4992.839419887867,-55926.5770066054,-56116.79464721588,-54672.30055688998,-20517.959815383685,-39557.424811989935,-40047.4689471352,-34669.258971761854,-33997.387326321914,-33469.52860733549,2109.5220429200294,-1194.696292054623,-993.655656465085,-1459.9776209653319,-3873.070745104468,-3896.4551710911674,0.0,0.0,0.0,-34462.505617939634,-46270.25725913535,-11807.751641195719,5719.568035732227,-6088.183605463493,-11807.75164119572,1.57160684466362e-09,-11807.751641194149,-11807.75164119572
2026-06-10,85464.41982991167,130418.1977849837,124258.36190285896,-6159.835882124735,-2233.3152723672683,2707.5926348901567,52458.9568612562,-293.8129238205032,1498.7280991852022,117.8683052511777,35384.54850989338,6.015007380741139,1983.092272791575,-7.062079374246084,2008.5279582625008,7.533553236212703,0.0,0.0,3552.3872271303917,-6527.672378079755,-611.633119181565,1476.539150945384,1741.6551444370386,0.0,487.4329845451332,-167.56882568678418,-6248.667363833454,-512.9606163776365,0.0,429.42342084094366,-14.235410766236384,-44.8955079636053,0.0,-121.47034554998031,-359.72242894239275,0.0,-18.49433933171533,0.0,0.0,-2233.3152723672683,289.91537514858646,-625.8845515784924,52458.9568612562,50720.45564032452,50467.92020978038,1498.7280991852022,-1218.3770412753802,-1225.2241778731823,35384.54850989338,34975.07786801423,34830.15651667638,1983.092272791575,-487.13396085066734,-422.15664660234825,2008.5279582625008,2418.852637409559,2439.6084795091365,0.0,0.0,0.0,-5636.118599109934,39317.659355962096,44953.77795507203,-1234.3706888591842,43719.407266212846,44953.77795507203,-2.0372681319713593e-10,44953.777955071826,44953.77795507203
2026-06-11,1921.2801783945615,-1926.0209452076815,-3411.0209452076815,-1485.0,-2396.8134113285196,195.73701863726097,15321.9064736091,-26.942215511300077,-82.06870532621724,140.25532921343756,-12279.50439756105,4.710042704756681,13.801688966396597,0.032900330339415924,2089.210630514746,11.910554792096047,0.0,0.0,290.92969564296385,-2026.0614465778046,94.06460337197036,-22.357938455109252,573.5218794919102,0.0,139.7343239314497,20.651906912031237,85.78932252120622,-150.74840918480987,0.0,-157.44807136352506,3.9194556551455477,-55.88229791158541,0.0,-2.240880643886638,129.97803914315801,0.0,-0.8910020583239147,0.0,0.0,-2396.8134113285196,-2746.0279959542822,-2750.212303834094,15321.9064736091,15488.142678009219,15481.420028677676,-82.06870532621724,-989.6823942459287,-979.9379423796963,-12279.50439756105,-12232.291556146418,-12224.815405029318,13.801688966396597,45.944067806252036,45.81708139500995,2089.210630514746,2349.110290047016,2349.0087195650003,0.0,0.0,0.0,-745.2521004798946,-4592.553224082138,-3847.301123602243,6.085088878703573,-3841.2160347235395,-3847.301123602243,-1.6370904631912708e-11,-3847.3011236022594,-3847.301123602243
2026-06-12,120341.0634990253,109933.59096619909,108231.65217806192,-1701.9387881371613,2509.4592120590823,167.62748823968246,-18910.768807802742,-55.754022520883964,3478.4025919079377,297.263175768451,135240.42200644908,701.2690961182452,-3180.7032013048174,65.45169777493075,2826.1346125599766,17.752460190884328,0.0,0.0,383.1808330489549,-3114.8278862800935,1575.9974891543234,-1217.477602197441,-688.3771589512731,0.0,198.44225798756932,545.0871218870318,4503.273628898846,182.7665589465881,0.0,-2313.8393014101052,272.57485982486924,76.87266795073845,0.0,-1088.1946066167716,-1463.7096572640367,0.0,68.41101397072917,0.0,0.0,2509.4592120590823,1146.3345376860088,988.3877250403893,-18910.768807802742,-16060.147629939134,-16185.718218553237,3478.4025919079377,1335.2770667128589,1261.5570535365878,135240.42200644908,134569.36162544254,134267.60520251645,-3180.7032013048174,-1845.957856589769,-1895.1127594218751,2826.1346125599766,1931.8687850772299,1904.3444959069766,0.0,0.0,0.0,-1621.882914843227,-12029.355447669444,-10407.472532826218,-735.6730293644359,-11143.145562190653,-10407.472532826218,0.0,-10407.472532826218,-10407.472532826218
2026-06-15,612896.7859014255,720011.8923807123,718399.7490134746,-1612.1433672377168,-28.35123672827467,10.825880392205676,-5072.838684891219,-4.692248729685097,-9066.37466788105,1095.4162452367364,631260.4818516453,2549.296150551252,13130.536107609805,11.386903012667972,5693.239069145571,68.30316257079139,0.0,0.0,36.457892519247906,3647.363610433607,1199.169000615075,-3485.1199736514545,-784.4138227443723,0.0,-241.61947367807903,807.862403073259,12783.14283113164,163.78549060747585,0.0,34266.52656272035,-1097.534256632901,-76.47633849564772,0.0,-40030.69351042858,-20972.534546517385,0.0,-283.1682508879753,0.0,0.0,-28.35123672827467,289.2029972499804,-440.522160017048,-5072.838684891219,1697.28363820587,441.9184522640311,-9066.37466788105,10278.17162952938,12409.628908678395,631260.4818516453,621444.9429569279,610449.6901957304,13130.536107609805,-2914.763569612085,-4508.384556698627,5693.239069145571,-5214.86150230259,-5455.544938531537,0.0,0.0,0.0,-23019.9065374746,84095.19994181216,107115.10647928675,-12683.190248572966,94431.91623071379,107115.10647928675,-1.1641532182693481e-10,107115.10647928664,107115.10647928675
